id,artist.name,project.name,weeks.nr1,number.collaborators,weeks.nr1.adj,award,type,city.origin,kreis.origin,state.origin,running.number
187 Strassenbande-Sampler 4-album,187 Strassenbande,Sampler 4,2,1,2,1× Platin,album,Hamburg,Hamburg,Hamburg,1
187 Strassenbande-Sampler 5-album,187 Strassenbande,Sampler 5,1,1,1,NA,album,Hamburg,Hamburg,Hamburg,2
257ers-Boomshakkalakka-album,257ers,Boomshakkalakka,1,1,1,NA,album,Essen,Essen,Nordrhein-Westfalen,3
257ers-Mikrokosmos-album,257ers,Mikrokosmos,1,1,1,NA,album,Essen,Essen,Nordrhein-Westfalen,4
AK Ausserkontrolle-A.S.S.N. 2-album,AK Ausserkontrolle,A.S.S.N. 2,1,1,1,NA,album,Berlin,Berlin,Berlin,5
AK Ausserkontrolle feat.  Bonez MC-In meinem Benz-single,AK Ausserkontrolle,In meinem Benz,1,2,0.5,1 × Platin,single,Berlin,Berlin,Berlin,6
AK Ausserkontrolle feat.  Bonez MC-In meinem Benz-single,Bonez MC,In meinem Benz,1,2,0.5,1 × Platin,single,Hamburg,Hamburg,Hamburg,7
Alligatoah-Triebwerke-album,Alligatoah,Triebwerke,1,1,1,1× Platin,album,Langen bei Bremerhaven,Cuxhaven,Niedersachsen,8
"Alligatoah-Schlaftabletten, Rotwein V-album",Alligatoah,"Schlaftabletten, Rotwein V",1,1,1,NA,album,Langen bei Bremerhaven,Cuxhaven,Niedersachsen,9
Antilopen Gang-Anarchie und Alltag-album,Koljah,Anarchie und Alltag,1,3,0.3333333333333333,NA,album,Düsseldorf,Düsseldorf,Nordrhein-Westfalen,10
Antilopen Gang-Anarchie und Alltag-album,Aachen,Anarchie und Alltag,1,3,0.3333333333333333,NA,album,Aachen,Städteregion Aachen,Nordrhein-Westfalen,11
Antilopen Gang-Anarchie und Alltag-album,Aachen,Anarchie und Alltag,1,3,0.3333333333333333,NA,album,Aachen,Städteregion Aachen,Nordrhein-Westfalen,12
Apache 207-Treppenhaus-album,Apache 207,Treppenhaus,1,1,1,NA,album,Ludwigshafen am Rhein,Ludwigshafen am Rhein,Rheinland-Pfalz,13
Apache 207-Roller-single,Apache 207,Roller,1,1,1,1 × Diamant,single,Ludwigshafen am Rhein,Ludwigshafen am Rhein,Rheinland-Pfalz,14
Apache 207-Wieso tust du dir das an?-single,Apache 207,Wieso tust du dir das an?,1,1,1,1 × Platin,single,Ludwigshafen am Rhein,Ludwigshafen am Rhein,Rheinland-Pfalz,15
Apache 207-Fame-single,Apache 207,Fame,2,1,2,1 × Platin,single,Ludwigshafen am Rhein,Ludwigshafen am Rhein,Rheinland-Pfalz,16
Apache 207-Boot-single,Apache 207,Boot,1,1,1,1 × Gold,single,Ludwigshafen am Rhein,Ludwigshafen am Rhein,Rheinland-Pfalz,17
Apache 207-Bläulich-single,Apache 207,Bläulich,3,1,3,1 × Platin,single,Ludwigshafen am Rhein,Ludwigshafen am Rhein,Rheinland-Pfalz,18
Apache 207-Unterwegs-single,Apache 207,Unterwegs,1,1,1,1 × Gold,single,Ludwigshafen am Rhein,Ludwigshafen am Rhein,Rheinland-Pfalz,19
Apache 207-Sie ruft-single,Apache 207,Sie ruft,1,1,1,NA,single,Ludwigshafen am Rhein,Ludwigshafen am Rhein,Rheinland-Pfalz,20
Apache 207-Angst-single,Apache 207,Angst,1,1,1,NA,single,Ludwigshafen am Rhein,Ludwigshafen am Rhein,Rheinland-Pfalz,21
Apache 207-Kapitel II Vodka-single,Apache 207,Kapitel II Vodka,1,1,1,NA,single,Ludwigshafen am Rhein,Ludwigshafen am Rhein,Rheinland-Pfalz,22
Azad-Leben II-album,Azad,Leben II,1,1,1,NA,album,Frankfurt am Main,Frankfurt am Main,Hessen,23
Azad feat.  Adel Tawil-Prison Break Anthem (Ich glaub’ an dich)-single,Azad,Prison Break Anthem (Ich glaub’ an dich),1,2,0.5,1 × Gold,single,Frankfurt am Main,Frankfurt am Main,Hessen,24
Azad feat.  Adel Tawil-Prison Break Anthem (Ich glaub’ an dich)-single,Adel Tawil,Prison Break Anthem (Ich glaub’ an dich),1,2,0.5,1 × Gold,single,Berlin,Berlin,Berlin,25
Azet-Fast Life-album,Azet,Fast Life,1,1,1,NA,album,Dresden,Dresden,Sachsen,26
Azet-Neue Welt-album,Azet,Neue Welt,1,1,1,NA,album,Dresden,Dresden,Sachsen,27
Azet   Zuna-Super Plus-album,Zuna,Super Plus,1,2,0.5,NA,album,Dresden,Dresden,Sachsen,28
Azet   Zuna-Super Plus-album,Azet,Super Plus,1,2,0.5,NA,album,Dresden,Dresden,Sachsen,29
B-Tight-A.i.d.S. Royal-album,B-Tight,A.i.d.S. Royal,1,1,1,NA,album,Berlin,Berlin,Berlin,30
Bausa-Was du Liebe nennst-single,Bausa,Was du Liebe nennst,9,1,9,7 × Gold,single,Saarbrücken,Regionalverband Saarbrücken,Saarland,31
Bausa feat.  Apache 207-Madonna-single,Bausa,Madonna,1,2,0.5,1 × Platin,single,Bietigheim-Bissingen,Ludwigsburg,Baden-Württemberg,32
Bausa feat.  Apache 207-Madonna-single,Apache 207,Madonna,1,2,0.5,1 × Platin,single,Ludwigshafen am Rhein,Ludwigshafen am Rhein,Rheinland-Pfalz,33
Beginner-Blast Action Heroes-album,Beginner,Blast Action Heroes,1,1,1,NA,album,Hamburg,Hamburg,Hamburg,34
Beginner-Advanced Chemistry-album,Beginner,Advanced Chemistry,1,1,1,1× Platin,album,Hamburg,Hamburg,Hamburg,35
Bonez MC-Hollywood-album,Bonez MC,Hollywood,1,1,1,1 × Gold,album,Hamburg,Hamburg,Hamburg,36
Bonez MC-Hollywood Uncut-album,Bonez MC,Hollywood Uncut,1,1,1,NA,album,Hamburg,Hamburg,Hamburg,37
Bonez MC-Roadrunner-single,Bonez MC,Roadrunner,1,1,1,1 × Gold,single,Hamburg,Hamburg,Hamburg,38
Bonez MC-Big Body Benz-single,Bonez MC,Big Body Benz,1,1,1,1 × Gold,single,Hamburg,Hamburg,Hamburg,39
Bonez MC-Fuckst mich nur ab-single,Bonez MC,Fuckst mich nur ab,1,1,1,1 × Gold,single,Hamburg,Hamburg,Hamburg,40
Bonez MC-Angeklagt-single,Bonez MC,Angeklagt,3,1,3,1 × Gold,single,Hamburg,Hamburg,Hamburg,41
Bonez MC  Osterreich RAF Camora-Palmen aus Plastik-album,Bonez MC,Palmen aus Plastik,2,2,1,1× Platin,album,Hamburg,Hamburg,Hamburg,42
Bonez MC  Osterreich RAF Camora-Palmen aus Plastik 2-album,Bonez MC,Palmen aus Plastik 2,1,2,0.5,1× Gold,album,Hamburg,Hamburg,Hamburg,43
Bonez MC  Osterreich RAF Camora-Palmen aus Plastik 3-album,Bonez MC,Palmen aus Plastik 3,1,2,0.5,NA,album,Hamburg,Hamburg,Hamburg,44
Bonez MC  Osterreich RAF Camora-500 PS-single,Bonez MC,500 PS,1,2,0.5,1 × Diamant,single,Hamburg,Hamburg,Hamburg,45
Bonez MC  Osterreich RAF Camora feat.  Gzuz-Kokain-single,Bonez MC,Kokain,1,3,0.3333333333333333,1 × Platin,single,Hamburg,Hamburg,Hamburg,46
Bonez MC  Osterreich RAF Camora feat.  Gzuz-Kokain-single,Gzuz,Kokain,1,3,0.3333333333333333,1 × Platin,single,Hamburg,Hamburg,Hamburg,47
Bonez MC feat.  Frauenarzt-Extasy-single,Bonez MC,Extasy,1,2,0.5,1 × Gold,single,Hamburg,Hamburg,Hamburg,48
Bonez MC feat.  Frauenarzt-Extasy-single,Frauenarzt,Extasy,1,2,0.5,1 × Gold,single,Berlin,Berlin,Berlin,49
Bushido-7-album,Bushido,7,2,1,2,1× Platin,album,Berlin,Berlin,Berlin,50
Bushido-Heavy Metal Payback-album,Bushido,Heavy Metal Payback,1,1,1,1× Gold,album,Berlin,Berlin,Berlin,51
Bushido-Jenseits von Gut und Böse-album,Bushido,Jenseits von Gut und Böse,1,1,1,NA,album,Berlin,Berlin,Berlin,52
Bushido-AMYF-album,Bushido,AMYF,1,1,1,1× Gold,album,Berlin,Berlin,Berlin,53
Bushido-Sonny Black-album,Bushido,Sonny Black,1,1,1,1× Gold,album,Berlin,Berlin,Berlin,54
Bushido-Carlo Cokxxx Nutten 3-album,Bushido,Carlo Cokxxx Nutten 3,1,1,1,1× Gold,album,Berlin,Berlin,Berlin,55
Bushido-Black Friday-album,Bushido,Black Friday,1,1,1,1× Gold,album,Berlin,Berlin,Berlin,56
Bushido-Mythos-album,Bushido,Mythos,1,1,1,NA,album,Berlin,Berlin,Berlin,57
Bushido   Animus-Carlo Cokxxx Nutten 4-album,Bushido,Carlo Cokxxx Nutten 4,1,2,0.5,NA,album,Berlin,Berlin,Berlin,58
Bushido   Animus-Carlo Cokxxx Nutten 4-album,Animus,Carlo Cokxxx Nutten 4,1,2,0.5,NA,album,Heidelberg,Heidelberg,Baden-Württemberg,59
Bushido   Shindy-CLA$$IC-album,Bushido,CLA$$IC,1,2,0.5,1× Gold,album,Berlin,Berlin,Berlin,60
Bushido   Shindy-CLA$$IC-album,Shindy,CLA$$IC,1,2,0.5,1× Gold,album,Bietigheim-Bissingen,Ludwigsburg,Baden-Württemberg,61
Bushido feat.  Samra   Capital Bra-Für euch alle-single,Bushido,Für euch alle,1,3,0.3333333333333333,1 × Gold,single,Berlin,Berlin,Berlin,62
Bushido feat.  Samra   Capital Bra-Für euch alle-single,Samra,Für euch alle,1,3,0.3333333333333333,1 × Gold,single,Berlin,Berlin,Berlin,63
Bushido feat.  Samra   Capital Bra-Für euch alle-single,Capital Bra,Für euch alle,1,3,0.3333333333333333,1 × Gold,single,Berlin,Berlin,Berlin,64
Capital Bra-Berlin lebt-album,Capital Bra,Berlin lebt,1,1,1,1× Gold,album,Berlin,Berlin,Berlin,65
Capital Bra-CB6-album,Capital Bra,CB6,1,1,1,1× Gold,album,Berlin,Berlin,Berlin,66
Capital Bra-CB7-album,Capital Bra,CB7,1,1,1,NA,album,Berlin,Berlin,Berlin,67
Capital Bra-5 Songs in einer Nacht-single,Capital Bra,5 Songs in einer Nacht,1,1,1,1 × Gold,single,Berlin,Berlin,Berlin,68
Capital Bra-One Night Stand-single,Capital Bra,One Night Stand,2,1,2,1 × Platin,single,Berlin,Berlin,Berlin,69
Capital Bra-Berlin lebt-single,Capital Bra,Berlin lebt,1,1,1,1 × Gold,single,Berlin,Berlin,Berlin,70
Capital Bra-Benzema-single,Capital Bra,Benzema,1,1,1,1 × Platin,single,Berlin,Berlin,Berlin,71
Capital Bra-Prinzessa-single,Capital Bra,Prinzessa,2,1,2,1 × Platin,single,Berlin,Berlin,Berlin,72
Capital Bra-Cherry Lady-single,Capital Bra,Cherry Lady,1,1,1,1 × Platin,single,Berlin,Berlin,Berlin,73
Capital Bra-Der Bratan bleibt der gleiche-single,Capital Bra,Der Bratan bleibt der gleiche,1,1,1,NA,single,Berlin,Berlin,Berlin,74
Capital Bra   Farid Bang-Deutschrap brandneu-album,Capital Bra,Deutschrap brandneu,1,2,0.5,NA,album,Berlin,Berlin,Berlin,75
Capital Bra   Farid Bang-Deutschrap brandneu-album,Farid Bang,Deutschrap brandneu,1,2,0.5,NA,album,Düsseldorf,Düsseldorf,Nordrhein-Westfalen,76
Capital Bra   Loredana-Nicht verdient-single,Capital Bra,Nicht verdient,1,2,0.5,NA,single,Berlin,Berlin,Berlin,77
Capital Bra   Samra-Berlin lebt 2-album,Capital Bra,Berlin lebt 2,1,2,0.5,1× Gold,album,Berlin,Berlin,Berlin,78
Capital Bra   Samra-Berlin lebt 2-album,Samra,Berlin lebt 2,1,2,0.5,1× Gold,album,Berlin,Berlin,Berlin,79
Capital Bra   Samra-Wir ticken-single,Capital Bra,Wir ticken,1,2,0.5,1 × Gold,single,Berlin,Berlin,Berlin,80
Capital Bra   Samra-Wir ticken-single,Samra,Wir ticken,1,2,0.5,1 × Gold,single,Berlin,Berlin,Berlin,81
Capital Bra   Samra-Tilidin-single,Capital Bra,Tilidin,2,2,1,3 × Gold,single,Berlin,Berlin,Berlin,82
Capital Bra   Samra-Tilidin-single,Samra,Tilidin,2,2,1,3 × Gold,single,Berlin,Berlin,Berlin,83
Capital Bra   Samra-Nummer 1-single,Capital Bra,Nummer 1,1,2,0.5,NA,single,Berlin,Berlin,Berlin,84
Capital Bra   Samra-Nummer 1-single,Samra,Nummer 1,1,2,0.5,NA,single,Berlin,Berlin,Berlin,85
Capital Bra   Samra feat.  LEA-110-single,Capital Bra,110,2,3,0.6666666666666666,3 × Gold,single,Berlin,Berlin,Berlin,86
Capital Bra   Samra feat.  LEA-110-single,Samra,110,2,3,0.6666666666666666,3 × Gold,single,Berlin,Berlin,Berlin,87
Capital Bra   Samra feat.  LEA-110-single,LEA,110,2,3,0.6666666666666666,3 × Gold,single,Kassel,Kassel,Hessen,88
Capital Bra feat.  Cro-Frühstück in Paris-single,Capital Bra,Frühstück in Paris,1,2,0.5,1 × Gold,single,Berlin,Berlin,Berlin,89
Capital Bra feat.  Cro-Frühstück in Paris-single,Cro,Frühstück in Paris,1,2,0.5,1 × Gold,single,Stuttgart,Stuttgart,Baden-Württemberg,90
Capital Bra feat.  Juju-Melodien-single,Capital Bra,Melodien,1,2,0.5,1 × Platin,single,Berlin,Berlin,Berlin,91
Capital Bra feat.  Juju-Melodien-single,Juju,Melodien,1,2,0.5,1 × Platin,single,Berlin,Berlin,Berlin,92
Capital Bra feat.  Luciano   Eno-Roli Glitzer Glitzer-single,Capital Bra,Roli Glitzer Glitzer,1,3,0.3333333333333333,1 × Gold,single,Berlin,Berlin,Berlin,93
Capital Bra feat.  Luciano   Eno-Roli Glitzer Glitzer-single,Luciano,Roli Glitzer Glitzer,1,3,0.3333333333333333,1 × Gold,single,Berlin,Berlin,Berlin,94
Capital Bra feat.  Luciano   Eno-Roli Glitzer Glitzer-single,Eno,Roli Glitzer Glitzer,1,3,0.3333333333333333,1 × Gold,single,Wiesbaden,Wiesbaden,Hessen,95
Capital Bra feat.  Ufo361-Neymar-single,Capital Bra,Neymar,3,2,1.5,1 × Platin,single,Berlin,Berlin,Berlin,96
Capital Bra feat.  Ufo361-Neymar-single,Ufo361,Neymar,3,2,1.5,1 × Platin,single,Berlin,Berlin,Berlin,97
Casper-XOXO-album,Casper,XOXO,1,1,1,3× Gold,album,Bielefeld,Bielefeld,Nordrhein-Westfalen,98
Casper-Hinterland-album,Casper,Hinterland,1,1,1,3× Gold,album,Bielefeld,Bielefeld,Nordrhein-Westfalen,99
Casper-Lang lebe der Tod-album,Casper,Lang lebe der Tod,1,1,1,NA,album,Bielefeld,Bielefeld,Nordrhein-Westfalen,100
Casper-Alles war schön und nichts tat weh-album,Casper,Alles war schön und nichts tat weh,1,1,1,NA,album,Bielefeld,Bielefeld,Nordrhein-Westfalen,101
Cro-Raop-album,Cro,Raop,5,1,5,5× Gold,album,Stuttgart,Stuttgart,Baden-Württemberg,102
Cro-Melodie-album,Cro,Melodie,1,1,1,3× Gold,album,Stuttgart,Stuttgart,Baden-Württemberg,103
Cro-MTV Unplugged: Cro-album,Cro,MTV Unplugged: Cro,1,1,1,1× Platin,album,Stuttgart,Stuttgart,Baden-Württemberg,104
Cro-tru.-album,Cro,tru.,1,1,1,NA,album,Stuttgart,Stuttgart,Baden-Württemberg,105
Cro-Trip-album,Cro,Trip,1,1,1,NA,album,Stuttgart,Stuttgart,Baden-Württemberg,106
Cro-11:11-album,Cro,11:11,1,1,1,NA,album,Stuttgart,Stuttgart,Baden-Württemberg,107
Cro-Whatever-single,Cro,Whatever,1,1,1,3 × Gold,single,Stuttgart,Stuttgart,Baden-Württemberg,108
Cro-Traum-single,Cro,Traum,4,1,4,2 × Platin,single,Stuttgart,Stuttgart,Baden-Württemberg,109
Cro-Bye Bye-single,Cro,Bye Bye,3,1,3,1 × Platin,single,Stuttgart,Stuttgart,Baden-Württemberg,110
Culcha Candela-Hamma!-single,Culcha Candela,Hamma!,6,1,6,1 × Platin,single,Berlin,Berlin,Berlin,111
Danger Dan-Das ist alles von der Kunstfreiheit gedeckt-album,Danger Dan,Das ist alles von der Kunstfreiheit gedeckt,1,1,1,NA,album,Aachen,Städteregion Aachen,Nordrhein-Westfalen,112
Deichkind-Niveau weshalb warum-album,Deichkind,Niveau weshalb warum,1,1,1,1× Platin,album,Hamburg,Hamburg,Hamburg,113
Dendemann-Da nich für!-album,Dendemann,Da nich für!,1,1,1,NA,album,Menden,Märkischer Kreis,Nordrhein-Westfalen,114
Die Fantastischen Vier-4:99-album,Die Fantastischen Vier,4:99,3,1,3,1× Gold,album,Stuttgart,Stuttgart,Baden-Württemberg,115
Die Fantastischen Vier-Fornika-album,Die Fantastischen Vier,Fornika,1,1,1,1× Platin,album,Stuttgart,Stuttgart,Baden-Württemberg,116
Die Fantastischen Vier-Für dich immer noch Fanta Sie-album,Die Fantastischen Vier,Für dich immer noch Fanta Sie,1,1,1,1× Platin,album,Stuttgart,Stuttgart,Baden-Württemberg,117
Die Fantastischen Vier-MTV Unplugged II-album,Die Fantastischen Vier,MTV Unplugged II,1,1,1,NA,album,Stuttgart,Stuttgart,Baden-Württemberg,118
Die Fantastischen Vier-Rekord-album,Die Fantastischen Vier,Rekord,1,1,1,3× Gold,album,Stuttgart,Stuttgart,Baden-Württemberg,119
Die Fantastischen Vier-Sie ist weg-single,Die Fantastischen Vier,Sie ist weg,3,1,3,1 × Gold,single,Stuttgart,Stuttgart,Baden-Württemberg,120
Edo Saiya-Polar-album,Edo Saiya,Polar,1,1,1,NA,album,Köln,Köln,Nordrhein-Westfalen,121
Eko Fresh-Eksodus-album,Eko Fresh,Eksodus,1,1,1,NA,album,Köln,Köln,Nordrhein-Westfalen,122
Eno feat.  Mero-Ferrari-single,Eno,Ferrari,1,2,0.5,1 × Gold,single,Wiesbaden,Wiesbaden,Hessen,123
Eno feat.  Mero-Ferrari-single,Mero,Ferrari,1,2,0.5,1 × Gold,single,Rüsselsheim am Main,Groß-Gerau,Hessen,124
Farid Bang-Killa-album,Farid Bang,Killa,1,1,1,1× Gold,album,Düsseldorf,Düsseldorf,Nordrhein-Westfalen,125
Farid Bang-Asphalt Massaka 3-album,Farid Bang,Asphalt Massaka 3,1,1,1,1× Gold,album,Düsseldorf,Düsseldorf,Nordrhein-Westfalen,126
Farid Bang-Asozialer Marokkaner-album,Farid Bang,Asozialer Marokkaner,1,1,1,NA,album,Düsseldorf,Düsseldorf,Nordrhein-Westfalen,127
Favorite-Neues von Gott-album,Favorite,Neues von Gott,1,1,1,NA,album,Essen,Essen,Nordrhein-Westfalen,128
Finch-Rummelbums-album,Finch,Rummelbums,1,1,1,NA,album,Fürstenwalde,Oder-Spree,Brandenburg,129
Fler-Vibe-album,Fler,Vibe,1,1,1,NA,album,Berlin,Berlin,Berlin,130
Fler-Colucci-album,Fler,Colucci,1,1,1,NA,album,Berlin,Berlin,Berlin,131
Fler-Atlantis-album,Fler,Atlantis,1,1,1,NA,album,Berlin,Berlin,Berlin,132
Fler-Widder-album,Fler,Widder,1,1,1,NA,album,Berlin,Berlin,Berlin,133
Fler   Jalil-Epic-album,Fler,Epic,1,2,0.5,NA,album,Berlin,Berlin,Berlin,134
Fler   Jalil-Epic-album,Jalil,Epic,1,2,0.5,NA,album,Berlin,Berlin,Berlin,135
Frank White-Keiner kommt klar mit mir-album,Frank White,Keiner kommt klar mit mir,1,1,1,NA,album,Berlin,Berlin,Berlin,136
Genetikk-D.N.A.-album,Genetikk,D.N.A.,1,1,1,1× Gold,album,Saarbrücken,Regionalverband Saarbrücken,Saarland,137
Genetikk-Achter Tag-album,Genetikk,Achter Tag,1,1,1,1× Gold,album,Saarbrücken,Regionalverband Saarbrücken,Saarland,138
Genetikk-Y.A.L.A-album,Genetikk,Y.A.L.A,1,1,1,NA,album,Saarbrücken,Regionalverband Saarbrücken,Saarland,139
Genetikk-MDNA-album,Genetikk,MDNA,1,1,1,NA,album,Saarbrücken,Regionalverband Saarbrücken,Saarland,140
Gzuz-Wolke 7-album,Gzuz,Wolke 7,1,1,1,1× Gold,album,Hamburg,Hamburg,Hamburg,141
Gzuz-Gzuz-album,Gzuz,Gzuz,1,1,1,NA,album,Hamburg,Hamburg,Hamburg,142
Gzuz-Große Freiheit-album,Gzuz,Große Freiheit,1,1,1,NA,album,Hamburg,Hamburg,Hamburg,143
Gzuz   Bonez MC-High & Hungrig 2-album,Gzuz,High & Hungrig 2,1,2,0.5,1× Platin,album,Hamburg,Hamburg,Hamburg,144
Gzuz   Bonez MC-High & Hungrig 2-album,Bonez MC,High & Hungrig 2,1,2,0.5,1× Platin,album,Hamburg,Hamburg,Hamburg,145
Jan Delay-Mercedes-Dance-album,Jan Delay,Mercedes-Dance,1,1,1,1× Platin,album,Hamburg,Hamburg,Hamburg,146
Jan Delay-Wir Kinder vom Bahnhof Soul-album,Jan Delay,Wir Kinder vom Bahnhof Soul,2,1,2,1× Platin,album,Hamburg,Hamburg,Hamburg,147
Joker Bra   Vize-Baby-single,Joker Bra   Vize,Baby,1,1,1,1 × Platin,single,Berlin,Berlin,Berlin,148
Juju feat.  Henning May-Vermissen-single,Juju,Vermissen,2,2,1,1 × Platin,single,Berlin,Berlin,Berlin,149
Juju feat.  Henning May-Vermissen-single,Henning May,Vermissen,2,2,1,1 × Platin,single,Köln,Köln,Nordrhein-Westfalen,150
Juri-Bratans aus Favelas-album,Juri,Bratans aus Favelas,1,1,1,NA,album,Kassel,Kassel,Hessen,151
K.I.Z-Hurra die Welt geht unter-album,K.I.Z,Hurra die Welt geht unter,1,1,1,1× Gold,album,Berlin,Berlin,Berlin,152
K.I.Z-Rap über Hass-album,K.I.Z,Rap über Hass,1,1,1,NA,album,Berlin,Berlin,Berlin,153
"Kalazh44,  Capital Bra   Samra feat.  Nimo   Luciano-Royal Rumble-single",Kalazh44,Royal Rumble,1,5,0.2,1 × Gold,single,Berlin,Berlin,Berlin,154
"Kalazh44,  Capital Bra   Samra feat.  Nimo   Luciano-Royal Rumble-single",Capital Bra,Royal Rumble,1,5,0.2,1 × Gold,single,Berlin,Berlin,Berlin,155
"Kalazh44,  Capital Bra   Samra feat.  Nimo   Luciano-Royal Rumble-single",Samra,Royal Rumble,1,5,0.2,1 × Gold,single,Berlin,Berlin,Berlin,156
"Kalazh44,  Capital Bra   Samra feat.  Nimo   Luciano-Royal Rumble-single",Nimo,Royal Rumble,1,5,0.2,1 × Gold,single,Leonberg,Böblingen,Baden-Württemberg,157
"Kalazh44,  Capital Bra   Samra feat.  Nimo   Luciano-Royal Rumble-single",Luciano,Royal Rumble,1,5,0.2,1 × Gold,single,Berlin,Berlin,Berlin,158
Kasimir1441 feat.  badmómzjay-Ohne Dich-single,Kasimir1441,Ohne Dich,4,2,2,1 × Platin,single,Berlin,Berlin,Berlin,159
Kasimir1441 feat.  badmómzjay-Ohne Dich-single,Badmómzjay,Ohne Dich,4,2,2,1 × Platin,single,Berlin,Berlin,Berlin,160
Katja Krasavice-Boss Bitch-album,Katja Krasavice,Boss Bitch,1,1,1,NA,album,Leipzig,Leipzig,Sachsen,161
Katja Krasavice-Eure Mami-album,Katja Krasavice,Eure Mami,1,1,1,NA,album,Leipzig,Leipzig,Sachsen,162
Katja Krasavice-Pussy Power-album,Katja Krasavice,Pussy Power,1,1,1,NA,album,Leipzig,Leipzig,Sachsen,163
Katja Krasavice-Pussy Power-single,Katja Krasavice,Pussy Power,1,1,1,NA,single,Leipzig,Leipzig,Sachsen,164
