id,artist.name,project.name,weeks.nr1,number.collaborators,weeks.nr1.adj,award,type,city.origin,kreis.origin,state.origin,running.number
Katja Krasavice feat.  Elif-Highway-single,Katja Krasavice,Highway,1,2,0.5,NA,single,Leipzig,Leipzig,Sachsen,165
Katja Krasavice feat.  Elif-Highway-single,Elif,Highway,1,2,0.5,NA,single,Berlin,Berlin,Berlin,166
Katja Krasavice feat.  Leony-Raindrops-single,Katja Krasavice,Raindrops,1,2,0.5,NA,single,Leipzig,Leipzig,Sachsen,167
Katja Krasavice feat.  Leony-Raindrops-single,Leony,Raindrops,1,2,0.5,NA,single,Chammünster,Cham,Bayern,168
Kay One-Rich Kidz-album,Kay One,Rich Kidz,1,1,1,1× Gold,album,Ravensburg,Ravensburg,Baden-Württemberg,169
Kay One feat.  Pietro Lombardi-Señorita-single,Kay One,Señorita,3,2,1.5,1 × Diamant,single,Ravensburg,Ravensburg,Baden-Württemberg,170
Kay One feat.  Pietro Lombardi-Señorita-single,Pietro Lombardi,Señorita,3,2,1.5,1 × Diamant,single,Karlsruhe,Karlsruhe,Baden-Württemberg,171
KC Rebell-Rebellution-album,KC Rebell,Rebellution,1,1,1,NA,album,Essen,Essen,Nordrhein-Westfalen,172
KC Rebell-Fata Morgana-album,KC Rebell,Fata Morgana,1,1,1,1× Gold,album,Essen,Essen,Nordrhein-Westfalen,173
KC Rebell-Abstand-album,KC Rebell,Abstand,1,1,1,1× Gold,album,Essen,Essen,Nordrhein-Westfalen,174
KC Rebell-Hasso-album,KC Rebell,Hasso,1,1,1,NA,album,Essen,Essen,Nordrhein-Westfalen,175
KC Rebell   Summer Cem-Maximum-album,KC Rebell,Maximum,1,2,0.5,NA,album,Essen,Essen,Nordrhein-Westfalen,176
KC Rebell   Summer Cem-Maximum-album,Summer Cem,Maximum,1,2,0.5,NA,album,Mönchengladbach,Mönchengladbach,Nordrhein-Westfalen,177
KC Rebell feat.  Summer Cem   Capital Bra-DNA-single,KC Rebell,DNA,1,3,0.3333333333333333,1 × Platin,single,Essen,Essen,Nordrhein-Westfalen,178
KC Rebell feat.  Summer Cem   Capital Bra-DNA-single,Summer Cem,DNA,1,3,0.3333333333333333,1 × Platin,single,Mönchengladbach,Mönchengladbach,Nordrhein-Westfalen,179
KC Rebell feat.  Summer Cem   Capital Bra-DNA-single,Capital Bra,DNA,1,3,0.3333333333333333,1 × Platin,single,Berlin,Berlin,Berlin,180
King Orgasmus One-Manifest-album,King Orgasmus One,Manifest,1,1,1,NA,album,Berlin,Berlin,Berlin,181
KitschKrieg feat.  Jamule-Unterwegs-single,KitschKrieg,Unterwegs,1,2,0.5,1 × Platin,single,Berlin,Berlin,Berlin,182
KitschKrieg feat.  Jamule-Unterwegs-single,Jamule,Unterwegs,1,2,0.5,1 × Platin,single,Essen,Essen,Nordrhein-Westfalen,183
"KitschKrieg feat.  Trettmann,  Gringo,  Ufo361   Gzuz-Standard-single",KitschKrieg,Standard,2,4,0.5,1 × Platin,single,Berlin,Berlin,Berlin,184
"KitschKrieg feat.  Trettmann,  Gringo,  Ufo361   Gzuz-Standard-single",Trettmann,Standard,2,4,0.5,1 × Platin,single,Chemnitz,Chemnitz,Sachsen,185
"KitschKrieg feat.  Trettmann,  Gringo,  Ufo361   Gzuz-Standard-single",Gringo,Standard,2,4,0.5,1 × Platin,single,Berlin,Berlin,Berlin,186
"KitschKrieg feat.  Trettmann,  Gringo,  Ufo361   Gzuz-Standard-single",Ufo361,Standard,2,4,0.5,1 × Platin,single,Berlin,Berlin,Berlin,187
Kollegah-King-album,Kollegah,King,1,1,1,3× Gold,album,Düsseldorf,Düsseldorf,Nordrhein-Westfalen,188
Kollegah-Zuhältertape Volume 4-album,Kollegah,Zuhältertape Volume 4,1,1,1,1× Platin,album,Düsseldorf,Düsseldorf,Nordrhein-Westfalen,189
Kollegah-Imperator-album,Kollegah,Imperator,1,1,1,1× Gold,album,Düsseldorf,Düsseldorf,Nordrhein-Westfalen,190
Kollegah-Monument-album,Kollegah,Monument,1,1,1,NA,album,Düsseldorf,Düsseldorf,Nordrhein-Westfalen,191
Kollegah-Alphagene II-album,Kollegah,Alphagene II,1,1,1,NA,album,Düsseldorf,Düsseldorf,Nordrhein-Westfalen,192
Kollegah   Asche-Natural Born Killas-album,Kollegah,Natural Born Killas,1,2,0.5,NA,album,Düsseldorf,Düsseldorf,Nordrhein-Westfalen,193
Kollegah   Asche-Natural Born Killas-album,Asche,Natural Born Killas,1,2,0.5,NA,album,Bochum,Bochum,Nordrhein-Westfalen,194
"Kollegah   Farid Bang-Jung, brutal, gutaussehend 2-album",Kollegah,"Jung, brutal, gutaussehend 2",1,2,0.5,1× Gold,album,Düsseldorf,Düsseldorf,Nordrhein-Westfalen,195
"Kollegah   Farid Bang-Jung, brutal, gutaussehend 2-album",Farid Bang,"Jung, brutal, gutaussehend 2",1,2,0.5,1× Gold,album,Düsseldorf,Düsseldorf,Nordrhein-Westfalen,196
Kollegah   Farid Bang-Jung Brutal Gutaussehend 3-album,Kollegah,Jung Brutal Gutaussehend 3,1,2,0.5,1× Platin,album,Düsseldorf,Düsseldorf,Nordrhein-Westfalen,197
Kollegah   Farid Bang-Jung Brutal Gutaussehend 3-album,Farid Bang,Jung Brutal Gutaussehend 3,1,2,0.5,1× Platin,album,Düsseldorf,Düsseldorf,Nordrhein-Westfalen,198
Kollegah   Farid Bang-Platin war gestern-album,Kollegah,Platin war gestern,1,2,0.5,NA,album,Düsseldorf,Düsseldorf,Nordrhein-Westfalen,199
Kollegah   Farid Bang-Platin war gestern-album,Farid Bang,Platin war gestern,1,2,0.5,NA,album,Düsseldorf,Düsseldorf,Nordrhein-Westfalen,200
Kollegah   Farid Bang-Sturmmaske auf (Intro)-single,Kollegah,Sturmmaske auf (Intro),1,2,0.5,NA,single,Düsseldorf,Düsseldorf,Nordrhein-Westfalen,201
Kollegah   Farid Bang-Sturmmaske auf (Intro)-single,Farid Bang,Sturmmaske auf (Intro),1,2,0.5,NA,single,Düsseldorf,Düsseldorf,Nordrhein-Westfalen,202
Kontra K-Labyrinth-album,Kontra K,Labyrinth,1,1,1,1× Gold,album,Berlin,Berlin,Berlin,203
Kontra K-Gute Nacht-album,Kontra K,Gute Nacht,1,1,1,1× Gold,album,Berlin,Berlin,Berlin,204
Kontra K-Erde & Knochen-album,Kontra K,Erde & Knochen,1,1,1,1× Gold,album,Berlin,Berlin,Berlin,205
Kontra K-Sie wollten Wasser doch kriegen Benzin-album,Kontra K,Sie wollten Wasser doch kriegen Benzin,1,1,1,1× Gold,album,Berlin,Berlin,Berlin,206
Kontra K-Vollmond-album,Kontra K,Vollmond,1,1,1,NA,album,Berlin,Berlin,Berlin,207
Kontra K-Aus dem Licht in den Schatten zurück-album,Kontra K,Aus dem Licht in den Schatten zurück,1,1,1,NA,album,Berlin,Berlin,Berlin,208
Kontra K-Für den Himmel durch die Hölle-album,Kontra K,Für den Himmel durch die Hölle,1,1,1,NA,album,Berlin,Berlin,Berlin,209
Kool Savas-Aura-album,Kool Savas,Aura,1,1,1,1× Gold,album,Berlin,Berlin,Berlin,210
Kool Savas-Märtyrer-album,Kool Savas,Märtyrer,1,1,1,1× Gold,album,Berlin,Berlin,Berlin,211
Kool Savas-KKS-album,Kool Savas,KKS,1,1,1,NA,album,Berlin,Berlin,Berlin,212
Kool Savas-Aghori-album,Kool Savas,Aghori,1,1,1,NA,album,Berlin,Berlin,Berlin,213
Kraftklub-Mit K-album,Kraftklub,Mit K,1,1,1,1× Platin,album,Chemnitz,Chemnitz,Sachsen,214
Kraftklub-In Schwarz-album,Kraftklub,In Schwarz,1,1,1,1× Gold,album,Chemnitz,Chemnitz,Sachsen,215
Kraftklub-Keine Nacht für Niemand-album,Kraftklub,Keine Nacht für Niemand,1,1,1,1× Gold,album,Chemnitz,Chemnitz,Sachsen,216
Kummer-Kiox-album,Kummer,Kiox,1,1,1,NA,album,Chemnitz,Chemnitz,Sachsen,217
Kummer feat.  Fred Rabe-Der letzte Song (Alles wird gut)-single,Kummer,Der letzte Song (Alles wird gut),2,2,1,1 × Gold,single,Chemnitz,Chemnitz,Sachsen,218
Kummer feat.  Fred Rabe-Der letzte Song (Alles wird gut)-single,Fred Rabe,Der letzte Song (Alles wird gut),2,2,1,1 × Gold,single,Hamm,Hamm,Nordrhein-Westfalen,219
Loredana   Juju feat.  Miksu   Macloud-Kein Wort-single,Juju,Kein Wort,2,2,1,1 × Platin,single,Berlin,Berlin,Berlin,220
Loredana   Zuna-Du bist mein-single,Zuna,Du bist mein,1,2,0.5,NA,single,Dresden,Dresden,Sachsen,221
Loredana feat.  Mero-Kein Plan-single,Mero,Kein Plan,1,2,0.5,1 × Gold,single,Rüsselsheim am Main,Groß-Gerau,Hessen,222
Luciano-Beautiful Girl-single,Luciano,Beautiful Girl,6,1,6,1 × Gold,single,Berlin,Berlin,Berlin,223
LX-Inhale/Exhale-album,LX,Inhale/Exhale,1,1,1,NA,album,Hamburg,Hamburg,Hamburg,224
LX   Maxwell-Obststand 2-album,LX,Obststand 2,1,2,0.5,NA,album,Hamburg,Hamburg,Hamburg,225
LX   Maxwell-Obststand 2-album,Maxwell,Obststand 2,1,2,0.5,NA,album,Hamburg,Hamburg,Hamburg,226
Majoe-Breiter als der Türsteher-album,Majoe,Breiter als der Türsteher,1,1,1,NA,album,Duisburg,Duisburg,Nordrhein-Westfalen,227
Majoe-Breiter als 2 Türsteher-album,Majoe,Breiter als 2 Türsteher,1,1,1,NA,album,Duisburg,Duisburg,Nordrhein-Westfalen,228
Majoe-Auge des Tigers-album,Majoe,Auge des Tigers,1,1,1,NA,album,Duisburg,Duisburg,Nordrhein-Westfalen,229
Makko   Miksu   Macloud-Nachts wach-single,Makko,Nachts wach,1,1,1,NA,single,Berlin,Berlin,Berlin,230
Marteria-Zum Glück in die Zukunft II-album,Marteria,Zum Glück in die Zukunft II,1,1,1,1× Platin,album,Rostock,Rostock,Mecklenburg-Vorpommern,231
Marteria   Casper-1982-album,Marteria,1982,1,2,0.5,NA,album,Rostock,Rostock,Mecklenburg-Vorpommern,232
Marteria   Casper-1982-album,Casper,1982,1,2,0.5,NA,album,Bielefeld,Bielefeld,Nordrhein-Westfalen,233
Marteria feat.  Yasha   Miss Platnum-Lila Wolken-single,Marteria,Lila Wolken,1,3,0.3333333333333333,1 × Platin,single,Berlin,Berlin,Berlin,234
Marteria feat.  Yasha   Miss Platnum-Lila Wolken-single,Yasha,Lila Wolken,1,3,0.3333333333333333,1 × Platin,single,Berlin,Berlin,Berlin,235
Marteria feat.  Yasha   Miss Platnum-Lila Wolken-single,Miss Platnum,Lila Wolken,1,3,0.3333333333333333,1 × Platin,single,Berlin,Berlin,Berlin,236
Max Herre-Max Herre-album,Max Herre,Max Herre,1,1,1,1× Gold,album,Stuttgart,Stuttgart,Baden-Württemberg,237
Max Herre-Hallo Welt!-album,Max Herre,Hallo Welt!,1,1,1,1× Gold,album,Stuttgart,Stuttgart,Baden-Württemberg,238
Mero-Ya Hero Ya Mero-album,Mero,Ya Hero Ya Mero,1,1,1,NA,album,Rüsselsheim am Main,Groß-Gerau,Hessen,239
Mero-Baller los-single,Mero,Baller los,1,1,1,1 × Gold,single,Rüsselsheim am Main,Groß-Gerau,Hessen,240
Mero-Hobby Hobby-single,Mero,Hobby Hobby,1,1,1,1 × Gold,single,Rüsselsheim am Main,Groß-Gerau,Hessen,241
Mero-Wolke 10-single,Mero,Wolke 10,1,1,1,1 × Gold,single,Rüsselsheim am Main,Groß-Gerau,Hessen,242
Montez-Auf & ab-single,Montez,Auf & ab,1,1,1,1 × Gold,single,Leopoldshöhe,Böblingen,Baden-Württemberg,243
Namika feat. Frankreich Black M-Je ne parle pas français (Beatgees Remix)-single,Namika,Je ne parle pas français (Beatgees Remix),1,2,0.5,1 × Platin,single,Frankfurt am Main,Frankfurt am Main,Hessen,244
Nana-Lonely-single,Nana,Lonely,5,1,5,1 × Platin,single,Hamburg,Hamburg,Hamburg,245
Nimo feat.  Hava-Kein Schlaf-single,Nimo,Kein Schlaf,1,2,0.5,1 × Gold,single,Leonberg,Böblingen,Baden-Württemberg,246
Nimo feat.  Hava-Kein Schlaf-single,Hava,Kein Schlaf,1,2,0.5,1 × Gold,single,Hamm,Hamm,Nordrhein-Westfalen,247
Olexesh-Rolexesh-album,Olexesh,Rolexesh,1,1,1,NA,album,Darmstadt,Darmstadt,Hessen,248
Olexesh feat.  Edin-Magisch-single,Olexesh,Magisch,1,2,0.5,1 × Platin,single,Darmstadt,Darmstadt,Hessen,249
Olexesh feat.  Edin-Magisch-single,Edin,Magisch,1,2,0.5,1 × Platin,single,Frankfurt am Main,Frankfurt am Main,Hessen,250
Osterreich RAF Camora feat.  Bonez MC-Blaues Licht-single,Bonez MC,Blaues Licht,1,2,0.5,1 × Platin,single,Hamburg,Hamburg,Hamburg,251
Osterreich RAF Camora feat.  Luciano-2CB-single,Luciano,2CB,1,2,0.5,1 × Gold,single,Berlin,Berlin,Berlin,252
Pashanim-Sommergewitter-single,Pashanim,Sommergewitter,1,1,1,1 × Gold,single,Berlin,Berlin,Berlin,253
Peter Fox-Stadtaffe-album,Peter Fox,Stadtaffe,4,1,4,13× Gold,album,Berlin,Berlin,Berlin,254
Prinz Pi-Kompass ohne Norden-album,Prinz Pi,Kompass ohne Norden,1,1,1,1× Gold,album,Berlin,Berlin,Berlin,255
Prinz Pi-Im Westen nix Neues-album,Prinz Pi,Im Westen nix Neues,1,1,1,NA,album,Berlin,Berlin,Berlin,256
Prinz Porno-pp=mc²-album,Prinz Porno,pp=mc²,1,1,1,NA,album,Berlin,Berlin,Berlin,257
Sabrina Setlur-Du liebst mich nicht-single,Sabrina Setlur,Du liebst mich nicht,1,1,1,1 × Gold,single,Frankfurt am Main,Frankfurt am Main,Hessen,258
Samra-Jibrail & Iblis-album,Samra,Jibrail & Iblis,1,1,1,NA,album,Berlin,Berlin,Berlin,259
Samra-Cataleya-single,Samra,Cataleya,1,1,1,1 × Gold,single,Berlin,Berlin,Berlin,260
Samra-Harami-single,Samra,Harami,1,1,1,1 × Gold,single,Berlin,Berlin,Berlin,261
Samra-Rohdiamant ٢٠٢٠-single,Samra,Rohdiamant ٢٠٢٠,1,1,1,NA,single,Berlin,Berlin,Berlin,262
Samra-Kennst du das?!-single,Samra,Kennst du das?!,1,1,1,NA,single,Berlin,Berlin,Berlin,263
Samra   Capital Bra-Wieder Lila-single,Samra,Wieder Lila,2,2,1,1 × Platin,single,Berlin,Berlin,Berlin,264
Samra   Capital Bra-Wieder Lila-single,Capital Bra,Wieder Lila,2,2,1,1 × Platin,single,Berlin,Berlin,Berlin,265
Samra   Capital Bra-Zombie-single,Samra,Zombie,1,2,0.5,NA,single,Berlin,Berlin,Berlin,266
Samra   Capital Bra-Zombie-single,Capital Bra,Zombie,1,2,0.5,NA,single,Berlin,Berlin,Berlin,267
Samy Deluxe-SchwarzWeiss-album,Samy Deluxe,SchwarzWeiss,1,1,1,1× Gold,album,Hamburg,Hamburg,Hamburg,268
Savas   Sido-Royal Bunker-album,Kool Savas,Royal Bunker,1,2,0.5,1× Gold,album,Berlin,Berlin,Berlin,269
Savas   Sido-Royal Bunker-album,Sido,Royal Bunker,1,2,0.5,1× Gold,album,Berlin,Berlin,Berlin,270
Seeed-Seeed-album,Seeed,Seeed,1,1,1,3× Gold,album,Berlin,Berlin,Berlin,271
Shindy-NWA-album,Shindy,NWA,1,1,1,1× Gold,album,Bietigheim-Bissingen,Ludwigsburg,Baden-Württemberg,272
Shindy-FVCKB!TCHE$GETMONE¥-album,Shindy,FVCKB!TCHE$GETMONE¥,1,1,1,1× Gold,album,Bietigheim-Bissingen,Ludwigsburg,Baden-Württemberg,273
Shindy-DREAMS-album,Shindy,DREAMS,1,1,1,1× Gold,album,Bietigheim-Bissingen,Ludwigsburg,Baden-Württemberg,274
Shindy-Drama-album,Shindy,Drama,1,1,1,1× Gold,album,Bietigheim-Bissingen,Ludwigsburg,Baden-Württemberg,275
Shindy-Dodi-single,Shindy,Dodi,1,1,1,1 × Gold,single,Bietigheim-Bissingen,Ludwigsburg,Baden-Württemberg,276
Shindy-Mandarinen-single,Shindy,Mandarinen,1,1,1,NA,single,Bietigheim-Bissingen,Ludwigsburg,Baden-Württemberg,277
Shirin David-Supersize-album,Shirin David,Supersize,1,1,1,NA,album,Hamburg,Hamburg,Hamburg,278
Shirin David-Gib ihm-single,Shirin David,Gib ihm,2,1,2,1 × Platin,single,Hamburg,Hamburg,Hamburg,279
Shirin David-90-60-111-single,Shirin David,90-60-111,1,1,1,NA,single,Hamburg,Hamburg,Hamburg,280
Shirin David-Ich darf das-single,Shirin David,Ich darf das,2,1,2,1 × Gold,single,Hamburg,Hamburg,Hamburg,281
Shirin David-Lieben wir-single,Shirin David,Lieben wir,1,1,1,NA,single,Hamburg,Hamburg,Hamburg,282
Shirin David feat.  Kitty Kat-Be a Hoe/Break a Hoe-single,Shirin David,Be a Hoe/Break a Hoe,1,2,0.5,NA,single,Hamburg,Hamburg,Hamburg,283
Shirin David feat.  Kitty Kat-Be a Hoe/Break a Hoe-single,Kitty Kat,Be a Hoe/Break a Hoe,1,2,0.5,NA,single,Berlin,Berlin,Berlin,284
Sido-Ich und meine Maske-album,Sido,Ich und meine Maske,1,1,1,1× Gold,album,Berlin,Berlin,Berlin,285
Sido-30-11-80-album,Sido,30-11-80,1,1,1,1× Platin,album,Berlin,Berlin,Berlin,286
Sido-Ich und keine Maske-album,Sido,Ich und keine Maske,1,1,1,1× Gold,album,Berlin,Berlin,Berlin,287
Sido feat.  Andreas Bourani-Astronaut-single,Sido,Astronaut,7,2,3.5,2 × Platin,single,Berlin,Berlin,Berlin,288
Sido feat.  Andreas Bourani-Astronaut-single,Andreas Bourani,Astronaut,7,2,3.5,2 × Platin,single,Augsburg,Augsburg,Bayern,289
Sierra Kidd-Naosu-album,Sierra Kidd,Naosu,1,1,1,NA,album,Emden,Emden,Niedersachsen,290
SpongeBOZZ-Planktonweed Tape-album,SpongeBOZZ,Planktonweed Tape,1,1,1,NA,album,Osnabrück,Osnabrück,Niedersachsen,291
"SSIO-0,9-album",SSIO,"0,9",1,1,1,1× Gold,album,Bonn,Bonn,Nordrhein-Westfalen,292
Summer Cem-Cemesis-album,Summer Cem,Cemesis,1,1,1,NA,album,Mönchengladbach,Mönchengladbach,Nordrhein-Westfalen,293
Summer Cem-Endstufe-album,Summer Cem,Endstufe,1,1,1,NA,album,Mönchengladbach,Mönchengladbach,Nordrhein-Westfalen,294
Sun Diego-Yellow Bar Mitzvah-album,Sun Diego,Yellow Bar Mitzvah,1,1,1,NA,album,Osnabrück,Osnabrück,Niedersachsen,295
T-Low   Miksu   Macloud-Sehnsucht-single,T-Low,Sehnsucht,4,1,4,1 × Gold,single,Lägerdorf,Steinburg,Schleswig-Holstein,296
T-Low   Miksu   Macloud-We Made It-single,T-Low,We Made It,1,1,1,1 × Gold,single,Lägerdorf,Steinburg,Schleswig-Holstein,297
Tarek K.I.Z-Golem-album,Tarek K.I.Z,Golem,1,1,1,NA,album,Berlin,Berlin,Berlin,298
Tic Tac Toe-Klappe die 2te-album,Lee,Klappe die 2te,7,4,1.75,2× Platin,album,Iserlohn,Märkischer Kreis,Nordrhein-Westfalen,299
Tic Tac Toe-Klappe die 2te-album,Jazzy,Klappe die 2te,7,4,1.75,2× Platin,album,Gelsenkirchen,Gelsenkirchen,Nordrhein-Westfalen,300
Tic Tac Toe-Klappe die 2te-album,Ricky,Klappe die 2te,7,4,1.75,2× Platin,album,Dortmund,Dortmund,Nordrhein-Westfalen,301
Tic Tac Toe-Verpiss’ dich-single,Lee,Verpiss’ dich,1,4,0.25,1 × Platin,single,Iserlohn,Märkischer Kreis,Nordrhein-Westfalen,302
Tic Tac Toe-Verpiss’ dich-single,Jazzy,Verpiss’ dich,1,4,0.25,1 × Platin,single,Gelsenkirchen,Gelsenkirchen,Nordrhein-Westfalen,303
Tic Tac Toe-Verpiss’ dich-single,Ricky,Verpiss’ dich,1,4,0.25,1 × Platin,single,Dortmund,Dortmund,Nordrhein-Westfalen,304
Tic Tac Toe-Warum?-single,Lee,Warum?,7,4,1.75,1 × Platin,single,Iserlohn,Märkischer Kreis,Nordrhein-Westfalen,305
Tic Tac Toe-Warum?-single,Jazzy,Warum?,7,4,1.75,1 × Platin,single,Gelsenkirchen,Gelsenkirchen,Nordrhein-Westfalen,306
Tic Tac Toe-Warum?-single,Ricky,Warum?,7,4,1.75,1 × Platin,single,Dortmund,Dortmund,Nordrhein-Westfalen,307
Trailerpark-TP4L-album,Alligatoah,TP4L,1,4,0.25,NA,album,Neuenwalde,Cuxhaven,Niedersachsen,308
Trailerpark-TP4L-album,Basti,TP4L,1,4,0.25,NA,album,Bielefeld,Bielefeld,Nordrhein-Westfalen,309
Trailerpark-TP4L-album,Timi Hendrix,TP4L,1,4,0.25,NA,album,Bielefeld,Bielefeld,Nordrhein-Westfalen,310
Trailerpark-TP4L-album,Sudden,TP4L,1,4,0.25,NA,album,Salzgitter,Salzgitter,Niedersachsen,311
Ufo361-808-album,Ufo361,808,1,1,1,NA,album,Berlin,Berlin,Berlin,312
Ufo361-Wave-album,Ufo361,Wave,1,1,1,NA,album,Berlin,Berlin,Berlin,313
Ufo361-Rich Rich-album,Ufo361,Rich Rich,1,1,1,NA,album,Berlin,Berlin,Berlin,314
Ufo361-Stay High-album,Ufo361,Stay High,1,1,1,NA,album,Berlin,Berlin,Berlin,315
Ufo361   Sonus030-Nur für Dich-album,Ufo361,Nur für Dich,1,1,1,NA,album,Berlin,Berlin,Berlin,316
Ufo361 feat.  Céline-Emotions-single,Ufo361,Emotions,1,2,0.5,1 × Gold,single,Berlin,Berlin,Berlin,317
Ufo361 feat.  Céline-Emotions-single,Céline,Emotions,1,2,0.5,1 × Gold,single,Paderborn,Paderborn,Nordrhein-Westfalen,318
Various Artists-Chronik 3-album,Kollegah,Chronik 3,1,5,0.2,NA,album,Düsseldorf,Düsseldorf,Nordrhein-Westfalen,319
Various Artists-Chronik 3-album,Favorite,Chronik 3,1,5,0.2,NA,album,Essen,Essen,Nordrhein-Westfalen,320
Various Artists-Chronik 3-album,257ers,Chronik 3,1,5,0.2,NA,album,Bielefeld,Bielefeld,Nordrhein-Westfalen,321
Various Artists-Chronik 3-album,Karate Andi,Chronik 3,1,5,0.2,NA,album,Göttingen,Göttingen,Niedersachsen,322
Various Artists-Chronik 3-album,Genetikk,Chronik 3,1,5,0.2,NA,album,Saarbrücken,Regionalverband Saarbrücken,Saarland,323
Vega-Kaos-album,Vega,Kaos,1,1,1,NA,album,Frankfurt am Main,Frankfurt am Main,Hessen,324
Weekend-Für immer Wochenende-album,Weekend,Für immer Wochenende,1,1,1,NA,album,Gelsenkirchen,Gelsenkirchen,Nordrhein-Westfalen,325
Xatar-Baba aller Babas-album,Xatar,Baba aller Babas,1,1,1,NA,album,Bonn,Bonn,Nordrhein-Westfalen,326
Xatar-Alles oder nix II-album,Xatar,Alles oder nix II,1,1,1,NA,album,Bonn,Bonn,Nordrhein-Westfalen,327
Xatar   Haftbefehl als Coup-Der Holland Job-album,Xatar,Der Holland Job,1,2,0.5,NA,album,Bonn,Bonn,Nordrhein-Westfalen,328
Xatar   Haftbefehl als Coup-Der Holland Job-album,Haftbefehl,Der Holland Job,1,2,0.5,NA,album,Frankfurt am Main,Frankfurt am Main,Hessen,329
Xavas-Gespaltene Persönlichkeit-album,Kool Savas,Gespaltene Persönlichkeit,1,2,0.5,1× Platin,album,Berlin,Berlin,Berlin,330
Xavas-Gespaltene Persönlichkeit-album,Xavier Naidoo,Gespaltene Persönlichkeit,1,2,0.5,1× Platin,album,Mannheim,Mannheim,Baden-Württemberg,331
